Running with 32 MPI processes
MPI wall clock resolution: 1.0000e-06 seconds

test	i	j	m	time
ppnb	0	1	0	3.1741e-06
ppb	0	1	0	3.1848e-06
h2h	0	1	0	1.9150e-06
ppnb	0	1	4	3.2210e-06
ppb	0	1	4	3.4561e-06
h2h	0	1	4	2.0549e-06
ppnb	0	1	8	3.2279e-06
ppb	0	1	8	3.4599e-06
h2h	0	1	8	2.1069e-06
ppnb	0	1	16	3.2170e-06
ppb	0	1	16	3.4409e-06
h2h	0	1	16	2.0962e-06
ppnb	0	1	32	3.2990e-06
ppb	0	1	32	3.4420e-06
h2h	0	1	32	2.0511e-06
ppnb	0	1	64	3.3522e-06
ppb	0	1	64	3.4928e-06
h2h	0	1	64	2.1720e-06
ppnb	0	1	128	3.3929e-06
ppb	0	1	128	3.5510e-06
h2h	0	1	128	2.1191e-06
ppnb	0	1	256	3.5410e-06
ppb	0	1	256	3.5980e-06
h2h	0	1	256	2.1901e-06
ppnb	0	1	512	3.6249e-06
ppb	0	1	512	3.7670e-06
h2h	0	1	512	2.2540e-06
ppnb	0	1	1024	4.0920e-06
ppb	0	1	1024	4.1981e-06
h2h	0	1	1024	2.4660e-06
ppnb	0	1	2048	4.6172e-06
ppb	0	1	2048	4.8759e-06
h2h	0	1	2048	2.8422e-06
ppnb	0	1	4096	6.1278e-06
ppb	0	1	4096	6.2871e-06
h2h	0	1	4096	3.7138e-06
ppnb	0	1	8192	1.4062e-05
ppb	0	1	8192	1.4064e-05
h2h	0	1	8192	9.0160e-06
ppnb	0	1	16384	1.6398e-05
ppb	0	1	16384	1.6398e-05
h2h	0	1	16384	1.0388e-05
ppnb	0	1	32768	2.0718e-05
ppb	0	1	32768	2.0862e-05
h2h	0	1	32768	1.3513e-05
ppnb	0	1	65536	3.2138e-05
ppb	0	1	65536	3.2301e-05
h2h	0	1	65536	1.9291e-05
ppnb	0	1	131072	5.2173e-05
ppb	0	1	131072	5.2405e-05
h2h	0	1	131072	3.0750e-05
ppnb	0	1	262144	9.2670e-05
ppb	0	1	262144	9.2864e-05
h2h	0	1	262144	5.3487e-05
ppnb	0	31	0	4.1759e-06
ppb	0	31	0	4.2901e-06
h2h	0	31	0	2.6369e-06
ppnb	0	31	4	4.2419e-06
ppb	0	31	4	4.5340e-06
h2h	0	31	4	2.7251e-06
ppnb	0	31	8	4.3139e-06
ppb	0	31	8	4.5722e-06
h2h	0	31	8	2.7220e-06
ppnb	0	31	16	4.3352e-06
ppb	0	31	16	4.5311e-06
h2h	0	31	16	2.7120e-06
ppnb	0	31	32	4.3931e-06
ppb	0	31	32	4.5140e-06
h2h	0	31	32	2.6898e-06
ppnb	0	31	64	4.4360e-06
ppb	0	31	64	4.5559e-06
h2h	0	31	64	2.7421e-06
ppnb	0	31	128	4.4620e-06
ppb	0	31	128	4.5841e-06
h2h	0	31	128	2.7611e-06
ppnb	0	31	256	4.5941e-06
ppb	0	31	256	4.7979e-06
h2h	0	31	256	2.8112e-06
ppnb	0	31	512	4.7479e-06
ppb	0	31	512	4.8389e-06
h2h	0	31	512	2.8501e-06
ppnb	0	31	1024	5.0960e-06
ppb	0	31	1024	5.2910e-06
h2h	0	31	1024	3.0382e-06
ppnb	0	31	2048	5.7530e-06
ppb	0	31	2048	5.9941e-06
h2h	0	31	2048	3.3329e-06
ppnb	0	31	4096	7.2432e-06
ppb	0	31	4096	7.3829e-06
h2h	0	31	4096	4.1850e-06
ppnb	0	31	8192	1.7319e-05
ppb	0	31	8192	1.7357e-05
h2h	0	31	8192	1.0950e-05
ppnb	0	31	16384	1.9546e-05
ppb	0	31	16384	1.9547e-05
h2h	0	31	16384	1.2280e-05
ppnb	0	31	32768	2.4243e-05
ppb	0	31	32768	2.4332e-05
h2h	0	31	32768	1.5345e-05
ppnb	0	31	65536	3.5075e-05
ppb	0	31	65536	3.5072e-05
h2h	0	31	65536	2.1250e-05
ppnb	0	31	131072	5.4288e-05
ppb	0	31	131072	5.4415e-05
h2h	0	31	131072	3.3053e-05
ppnb	0	31	262144	9.4696e-05
ppb	0	31	262144	9.4690e-05
h2h	0	31	262144	5.8270e-05
ppnb	2	3	0	3.1910e-06
ppb	2	3	0	3.2129e-06
h2h	2	3	0	1.9469e-06
ppnb	2	3	4	3.1581e-06
ppb	2	3	4	3.4649e-06
h2h	2	3	4	2.0909e-06
ppnb	2	3	8	3.2539e-06
ppb	2	3	8	3.4699e-06
h2h	2	3	8	2.0959e-06
ppnb	2	3	16	3.2520e-06
ppb	2	3	16	3.4580e-06
h2h	2	3	16	2.0790e-06
ppnb	2	3	32	3.3791e-06
ppb	2	3	32	3.4909e-06
h2h	2	3	32	2.1150e-06
ppnb	2	3	64	3.3848e-06
ppb	2	3	64	3.5310e-06
h2h	2	3	64	2.1551e-06
ppnb	2	3	128	3.4220e-06
ppb	2	3	128	3.5200e-06
h2h	2	3	128	2.0969e-06
ppnb	2	3	256	3.4981e-06
ppb	2	3	256	3.5689e-06
h2h	2	3	256	2.1629e-06
ppnb	2	3	512	3.6252e-06
ppb	2	3	512	3.7940e-06
h2h	2	3	512	2.2969e-06
ppnb	2	3	1024	4.0081e-06
ppb	2	3	1024	4.0779e-06
h2h	2	3	1024	2.4910e-06
ppnb	2	3	2048	4.7071e-06
ppb	2	3	2048	4.8890e-06
h2h	2	3	2048	2.8281e-06
ppnb	2	3	4096	6.1769e-06
ppb	2	3	4096	6.3081e-06
h2h	2	3	4096	3.6621e-06
ppnb	2	3	8192	1.4059e-05
ppb	2	3	8192	1.3981e-05
h2h	2	3	8192	9.0170e-06
ppnb	2	3	16384	1.6273e-05
ppb	2	3	16384	1.6377e-05
h2h	2	3	16384	1.0354e-05
ppnb	2	3	32768	2.0808e-05
ppb	2	3	32768	2.0830e-05
h2h	2	3	32768	1.3579e-05
ppnb	2	3	65536	3.2129e-05
ppb	2	3	65536	3.2287e-05
h2h	2	3	65536	1.9384e-05
ppnb	2	3	131072	5.1992e-05
ppb	2	3	131072	5.2230e-05
h2h	2	3	131072	3.0994e-05
ppnb	2	3	262144	9.2300e-05
ppb	2	3	262144	9.2292e-05
h2h	2	3	262144	5.3475e-05
Application 38215951 resources: utime ~379s, stime ~32s, Rss ~30840, inblocks ~308767, outblocks ~569168
